Entrez	NES	pvalue
Mypop	0.682643856759294	0.494831914180181
Aff1	0.68170637651254	0.495424634629631
Nfatc3	0.681670556561965	0.495447289255902
Cebpb	0.679297091377659	0.496949639023857
Foxj3	0.677892132840385	0.497840088486707
Pax1	0.677663988735819	0.497984764168959
Trim25	0.669776933455966	0.503
Lhx1	0.661955096288162	0.508
Foxc1	0.661955096288162	0.508
Nanog	0.657281390587217	0.511
Hoxd1	0.655726678798253	0.512
Sox6	0.652621998347801	0.514
Ovol1	0.651072015801326	0.515
Rpl7	0.651072015801326	0.515
E4f1	0.646431416324407	0.518
Whsc1	0.640265509214374	0.522
Zmat5	0.640265509214374	0.522
Zfp647	0.638727837484811	0.523
Atoh7	0.635657013697583	0.525
Egr4	0.631061979059499	0.528
Pou4f1	0.631061979059499	0.528
Zfp609	0.631061979059499	0.528
Nr3c2	0.62953326185314	0.529
Akna	0.62800601443757	0.53
Zfp319	0.621911595580624	0.534
Ebf1	0.620391602069078	0.535
Dbx2	0.618873040548629	0.536
Rbl1	0.617355904828379	0.537
Tlx2	0.617355904828379	0.537
Gfi1b	0.615840188747972	0.538
Relb	0.612812991016627	0.54
Zfp503	0.608282689440868	0.543
Zfp384	0.608282689440868	0.543
Hes5	0.600759774249319	0.548
Zic3	0.600759774249319	0.548
Ankrd1	0.599259276137027	0.549
Bnc2	0.599259276137027	0.549
Zfp558	0.597760126042478	0.55
Pou3f2	0.591776890591446	0.554
Zfp385a	0.591776890591446	0.554
Zfp358	0.585814765687599	0.558
Cited2	0.585814765687599	0.558
Prdm5	0.582841507271216	0.56
Zfp597	0.582841507271216	0.56
Nfib	0.579873392427704	0.562
Klf13	0.578391250134974	0.563
Nfx1	0.578391250134974	0.563
Zfp385b	0.576910377333271	0.564
Zfp580	0.576910377333271	0.564
Hoxb3	0.575430768607773	0.565
Hoxd12	0.575430768607773	0.565
Lcor	0.573952418568573	0.566
Zscan2	0.57247532185051	0.567
Sox7	0.569524867039805	0.569
Zfp764	0.569524867039805	0.569
Otx1	0.566579361742592	0.571
Lyl1	0.562170292257926	0.574
Nfe2l2	0.562170292257926	0.574
Pfdn1	0.559236977611907	0.576
En2	0.557772124341265	0.577
Vdr	0.556308466958918	0.578
Foxc2	0.554846000383363	0.579
Zfp711	0.553384719555673	0.58
Cers4	0.551924619439338	0.581
Zbtb12	0.549007941305861	0.583
Egr3	0.544641654799999	0.586
Zic1	0.544641654799999	0.586
Hnf1a	0.543188534421109	0.587
Rorc	0.541736560112817	0.588
Satb2	0.541736560112817	0.588
St18	0.541736560112817	0.588
Arntl	0.540285727012464	0.589
Zfp511	0.53883603027845	0.59
Pax7	0.53594002664749	0.592
Srebf2	0.53594002664749	0.592
Zfand3	0.530161445055519	0.596
Shox2	0.527278791439509	0.598
Stat3	0.525839107535043	0.599
Hira	0.521526571828932	0.602
Hcls1	0.518656932080391	0.604
Aatf	0.517223713738364	0.605
Ascl1	0.508646541328425	0.611
Prdm13	0.504371986238382	0.614
Zfp111	0.502949183895058	0.615
Nr1i2	0.497268105627901	0.619
Pou2f3	0.497268105627901	0.619
Tcf7l1	0.497268105627901	0.619
Hmgb2	0.497268105627901	0.619
Cux2	0.495850347347453	0.62
Zzef1	0.495850347347453	0.62
Snai2	0.495850347347453	0.62
Zfp593	0.494433585045687	0.621
Mier1	0.493017814484465	0.622
Six2	0.484543782441079	0.628
L3mbtl1	0.478913734112255	0.632
Nkx2-6	0.473298825432437	0.636
Hoxd11	0.470496967904941	0.638
Tbx3	0.470496967904941	0.638
Hoxd9	0.467698799114508	0.64
Scrt2	0.467698799114508	0.64
Zfp142	0.46630108812651	0.641
Spdef	0.462113401776377	0.644
Hlx	0.460719308890325	0.645
Isl2	0.45654238383984	0.648
Zfp42	0.455151847243969	0.649
Hdac1	0.44959845822632	0.653
Ppara	0.448212281456609	0.654
Baz1b	0.445442506291719	0.656
Nr2e3	0.445442506291719	0.656
Nfia	0.442676144203822	0.658
Zmynd15	0.439913165673234	0.66
Usf1	0.438532936074923	0.661
Zcchc17	0.438532936074923	0.661
Nfe2l1	0.435774977992694	0.663
Nr2c1	0.434397242259781	0.664
Spic	0.424775965530015	0.671
Nme2	0.423404722394183	0.672
Hoxd8	0.422034274927963	0.673
NA	0.419295753041396	0.675
Csrnp1	0.412463129441405	0.68
Phf5a	0.409735480321281	0.682
Smad4	0.407010876264466	0.684
Dbp	0.405649707698915	0.685
Hic2	0.404289290298579	0.686
Msrb2	0.404289290298579	0.686
Zcchc24	0.401570695630149	0.688
Nr1h3	0.400212511707879	0.689
Zfp687	0.400212511707879	0.689
Tfe3	0.398855065642337	0.69
Hoxa11	0.393432594110967	0.694
Barhl2	0.392078788045149	0.695
Hoxa1	0.39072570019687	0.696
Gsc	0.389373327329802	0.697
Msx2	0.388021666217977	0.698
Hbp1	0.388021666217977	0.698
Foxd2	0.386670713645716	0.699
Hoxa9	0.383970921308239	0.701
Drap1	0.382622075162534	0.702
Tgif2	0.379926467041307	0.704
Rcan1	0.377233616761812	0.706
Phf1	0.375888217955177	0.707
Cers5	0.374543499199443	0.708
Zfyve1	0.373199457378309	0.709
Atf3	0.371856089385075	0.71
Hsf1	0.365149248766682	0.715
Bhlhe41	0.365149248766682	0.715
Zbtb44	0.363809859029696	0.716
Foxd4	0.357122635006044	0.721
Zfp777	0.354452227350296	0.723
Nfatc2	0.351784344935156	0.725
Elf4	0.349118964035977	0.727
Mta1	0.346456061065837	0.729
Zfp712	0.339809491013167	0.734
Batf	0.33848198588974	0.735
Vsx2	0.333177899030597	0.739
Mta2	0.333177899030597	0.739
Dlx1	0.331853346436817	0.74
Foxn4	0.330529375804139	0.741
Sox9	0.326560927412373	0.744
Zbtb20	0.326560927412373	0.744
Evx1	0.325239256402395	0.745
Zfp526	0.325239256402395	0.745
Hnf4a	0.321277639545996	0.748
Dlx5	0.318639363964375	0.75
Znhit2	0.317321058562851	0.751
Smad3	0.31468609876611	0.753
Npas1	0.313369438883806	0.754
Sox8	0.312053322032832	0.755
Foxp3	0.310737745487592	0.756
Tcf21	0.305480788099397	0.76
Thoc1	0.305480788099397	0.76
Zbtb49	0.305480788099397	0.76
Thrb	0.304167872445598	0.761
Pax3	0.302855480891349	0.762
Uncx	0.300232259380722	0.764
Zfp354b	0.298921424090857	0.765
Zc3h18	0.298921424090857	0.765
Twist1	0.29761110223348	0.766
